, , ,
ID ,Xaxis, Yaxis ,Zaxis
68,31,32.42,0
69,32,32.42,0
70,32,33.37,0
71,33,33.37,0
72,29,30.53,0
73,34,34.32,0
74,29,29.58,0
75,34,34.32,0
76,28,29.58,0
77,33,32.42,0
78,28,29.58,0
79,34,34.32,0
80,30,29.58,0
81,35,34.32,0
82,29,29.58,0
83,34,34.32,0
84,30,30.53,0
85,33,33.37,0
86,30,32.42,0
87,31,32.42,0
88,31,32.42,0
89,31,32.42,0
90,32,33.37,0
91,29,30.53,0
92,33,33.37,0
93,28,29.58,0
94,33,33.37,0
95,29,28.63,0
96,34,35.27,0
97,30,31.48,0
98,34,33.37,0
99,30,31.48,0
100,33,33.37,0
101,30,31.48,0
102,32,32.42,0
103,32,33.37,0
104,29,31.48,0
105,34,35.27,0
106,29,30.53,0
107,34,34.32,0
108,31,32.42,0
109,31,32.42,0
110,32,32.42,0
111,29,30.53,0
112,32,32.42,0
113,30,31.48,0
114,32,32.42,0
115,31,31.48,0
116,30,31.48,0
117,33,33.37,0
118,29,29.58,0
119,32,33.37,0
120,31,31.48,0
121,32,32.42,0
122,31,32.42,0
123,29,30.53,0
124,33,33.37,0
125,30,31.48,0
126,32,33.37,0
127,32,32.42,0
128,29,30.53,0
129,33,33.37,0
130,30,30.53,0
131,33,33.37,0
132,31,32.42,0
133,30,31.48,0
134,32,33.37,0
135,29,30.53,0
136,33,33.37,0
137,30,32.42,0
138,31,31.48,0
139,32,33.37,0
140,29,30.53,0
141,33,33.37,0
142,32,33.37,0
143,30,32.42,0
144,33,33.37,0
145,30,30.53,0
146,33,32.42,0
147,31,32.42,0
148,30,30.53,0
149,33,34.32,0
150,30,31.48,0
151,31,32.42,0
152,32,32.42,0
153,30,31.48,0
154,33,33.37,0
155,31,31.48,0
156,31,32.42,0
, , ,
ID ,Tempreature, Humidity ,Gas
1,45,30.53,0
2,26,28.63,0
